neaddress,count,normalized_address,latitude,longitude
"Россия, край Краснодарский, р-н Каневской, ст-ца Челбасская, ул. Выгонная,   башня, Башня БИК ООО",14,"ул. Выгонная Выгонная, р-н Каневской",45.973283,39.394665
"Россия, край Краснодарский, р-н Староминский, ст-ца Староминская, ул. Тимашевская,   столб, Столб железобетонный БИК ООО",14,"ул. Тимашевская Тимашевская, р-н Староминский",46.519682,39.069879
"Россия, обл. Ростовская, р-н Тацинский, х Исаев,   0,8 км на северо-восток от ул. Шахтерская, д. 11 столб, Столб железобетонный БИК ООО",14,"ул. Шахтерская Шахтерская, р-н Тацинский",48.237714,41.181
"Россия, обл. Новосибирская, р-н Искитимский, с Лебедевка, ул. Советская,   0.53 км юго-западнее дома 1, башня, Башня БИК ООО",14,"ул. Советская Советская, р-н Искитимский",54.65711,83.279486
"Россия, обл. Свердловская, г. Екатеринбург, ул. 40-летия Комсомола, д. 1Б, Мачта на кровле МТС ПАО",14,"ул. 40-летия Комсомола 40-летия Комсомола, г. Екатеринбург",56.833905,60.694313
"Россия, обл. Ростовская, р-н Каменский, х Малая Каменка,   0,2 км юго-западнее здания администрации по К. Маркса ул, 21-а, башня, Башня Национальная Башенная Компания АО",14,,44.932351,7.537081
"Россия, обл. Новосибирская, р-н Карасукский, с Студеное, ул. Степная,   0,4 км северо-восточнее водонапорной башни, башня, Башня Первая Башенная Компания АО",14,"ул. Степная Степная, р-н Карасукский",53.615556,77.540249
"Россия, респ. Татарстан, г. Набережные Челны, пр-т Дружбы Народов, д. 27",14,,44.932351,7.537081
"Россия, обл. Новосибирская, г. Искитим, ул. Мостовая, д. 78,   опора, МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Мостовая Мостовая, г. Искитим",54.644197,83.314134
"Россия, обл. Новосибирская, г. Новосибирск, ул. Игарская, д. 54,   башня, МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Игарская Игарская, г. Новосибирск",55.100623,82.941854
"Россия, обл. Свердловская, г. Екатеринбург, ул. Горького, д. 31, Мачта на кровле МТС ПАО",14,"ул. Горького Горького, г. Екатеринбург",56.835909,60.606547
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. 2-я Краснодонская,   в районе дома 34, ОДН, ОДН ПраймТелеком Юг ООО",14,"ул. 2-я Краснодонская 2-я Краснодонская, г. Ростов-на-Дону",47.203672,39.631362
"Россия, обл. Новосибирская, р-н Куйбышевский, г. Куйбышев, г-к Учебный,   башня, Башня Прочие",14,,44.932351,7.537081
"Россия, обл. Новосибирская, р-н Новосибирский,   Барышевский с/с, 0,3 км восточнее дома 12 по Боровая Партия ул, Новосибирск г, опора, МАО (башня/мачта на пригрузах) БИК ООО",14,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, ул. Баумана, зд. 44/8, Внутри здания МТС ПАО",14,"ул. Баумана Баумана, п. Татарстан",55.620464,52.596791
"Россия, обл. Новосибирская, г. Новосибирск, ул. Нарымская, д. 23, Кровля здания ",14,"ул. Нарымская Нарымская, г. Новосибирск",55.04481,82.904808
"Россия, край Краснодарский, р-н Апшеронский, г. Хадыженск, ул. Ленина, д. 29А,   башня, Башня БИК ООО",14,"ул. Ленина Ленина, р-н Апшеронский",44.372522,39.63721
"Россия, край Краснодарский, г. Краснодар, ул. им. Карякина, д. 5/к.1",14,"ул. им. Карякина им. Карякина, г. Краснодар",45.065215,39.006718
"Россия, край Краснодарский, г. Краснодар, ул. им. Академика Лукьяненко П.П., д. 36, Кровля здания Прочие",14,"ул. им. Академика Лукьяненко П.П. им. Академика Лукьяненко П.П., г. Краснодар",45.05809,38.91491
"Россия, обл. Ростовская, г. Таганрог, ул. Ветренная, д. 45,   столб, Столб металлический БИК ООО",14,"ул. Ветренная Ветренная, г. Таганрог",47.233038,38.889012
"Россия, обл. Ростовская, г. Каменск-Шахтинский, мкр Шахта 17,   столб, Столб металлический БИК ООО",14,,44.932351,7.537081
"Россия, край Краснодарский, г. Горячий Ключ, п Приреченский, ул. Парковая,   опора, Столб металлический БИК ООО",14,"ул. Парковая Парковая, г. Горячий Ключ",44.646791,39.182932
"Россия, край Краснодарский, р-н Северский,   гора Собер-Баш, башня, Башня БИК ООО",14,,44.932351,7.537081
"Россия, обл. Свердловская, г. Екатеринбург, пер. Гончарный, д. 4",14,"пер. Гончарный Гончарный, г. Екатеринбург",56.781962,60.652074
"Россия, обл. Ростовская, р-н Аксайский, п Дорожный, ул. Широкая, д. 36А,   ЖБО, Столб железобетонный БИК ООО",14,"ул. Широкая Широкая, р-н Аксайский",47.18548,39.950183
"Россия, обл. Свердловская, г. Екатеринбург, ул. Братская, д. 14",14,"ул. Братская Братская, г. Екатеринбург",56.7785,60.604436
"Россия, обл. Ростовская, р-н Белокалитвинский, п Горняцкий, пер. Комсомольский, д. 11",14,"пер. Комсомольский Комсомольский, р-н Белокалитвинский",48.206727,40.646826
"Россия, обл. Ростовская, г. Шахты, пер. Татаркина, д. 17",14,"пер. Татаркина Татаркина, г. Шахты",47.725999,40.284104
"Россия, обл. Свердловская, р-н Белоярский, п Студенческий, ул. Мира,   МАО, МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Мира Мира, р-н Белоярский",56.694929,61.270717
"Россия, край Краснодарский, р-н Отрадненский, ст-ца Малотенгинская, ул. Северная,   столб, Столб металлический БИК ООО",14,"ул. Северная Северная, р-н Отрадненский",44.279451,41.515919
"Россия, обл. Новосибирская, р-н Убинский, с Кундран, ул. Новая,   0.11 км юго-западнее дома 26, опора, МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Новая Новая, р-н Убинский",42.918899,74.617077
"Россия, обл. Свердловская, р-н Сысертский, г. Арамиль, ул. Космонавтов, д. 17,   столб, Столб металлический БИК ООО",14,"ул. Космонавтов Космонавтов, р-н Сысертский",56.730672,60.728691
"Россия, край Краснодарский, р-н Северский, пгт Афипский, снт Афипс-17,   столб, Столб железобетонный БИК ООО",14,,44.932351,7.537081
"Россия, обл. Ростовская, р-н Аксайский, п Водопадный, ул. Ясная Поляна, д. 1А,   ЖБО, Столб железобетонный БИК ООО",14,"ул. Ясная Поляна Ясная Поляна, р-н Аксайский",47.319692,39.743498
"Россия, респ. Татарстан, г. Казань, ул. Дорожная (Нагорный), д. 1, Мачта на кровле МТС ПАО",14,"ул. Дорожная (Нагорный) Дорожная (Нагорный), п. Татарстан",55.620464,52.596791
"Россия, обл. Новосибирская, г. Новосибирск, ул. Чехова, д. 421Б, Башня на кровле МТС ПАО",14,"ул. Чехова Чехова, г. Новосибирск",55.010034,82.971499
"Россия, респ. Татарстан, г. Набережные Челны, пр-т Набережночелнинский, д. 80",14,,44.932351,7.537081
"Россия, обл. Ростовская, р-н Миллеровский, х Терновой, ул. Степная,   территория ангара и склада СПК ""Терновка"", опора, Столб железобетонный БИК ООО",14,"ул. Степная Степная, р-н Миллеровский",48.915324,40.395505
"Россия, обл. Ростовская, г. Ростов-на-Дону, пер. Нефтяной, д. 71, Столб железобетонный БИК ООО",14,"пер. Нефтяной Нефтяной, г. Ростов-на-Дону",47.250767,39.616054
"Россия, респ. Татарстан, г. Казань, ул. Тэцевская, д. 271,   опора, Столб металлический БИК ООО",14,"ул. Тэцевская Тэцевская, п. Татарстан",55.620464,52.596791
"Россия, обл. Ростовская, г. Шахты, пер. Цуканова, д. 2А,   ЖБО, Столб железобетонный Первая Башенная Компания АО",14,"пер. Цуканова Цуканова, г. Шахты",47.733878,40.234958
"Россия, обл. Ростовская, г. Ростов-на-Дону, пр-т Королева, д. 11/к.1",14,,44.932351,7.537081
"Россия, край Краснодарский, р-н Ейский, ст-ца Должанская, пер. Пионерский,   район Дома Культуры, башня, Башня БИК ООО",14,"пер. Пионерский Пионерский, р-н Ейский",46.639688,37.809758
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Добровольского, д. 28",14,"ул. Добровольского Добровольского, г. Ростов-на-Дону",47.291298,39.703398
"Россия, обл. Ростовская, г. Ростов-на-Дону, пер. Обуховский, д. 3",14,"пер. Обуховский Обуховский, г. Ростов-на-Дону",47.245592,39.719729
"Россия, обл. Ростовская, р-н Мясниковский, с Крым, ул. Крестьянская, д. 1 Д,   столб, Столб железобетонный Теле2",14,"ул. Крестьянская Крестьянская, р-н Мясниковский",47.392438,39.693462
"Россия, обл. Новосибирская, р-н Чановский, с Старые Карачи,   опора, МАО (башня/мачта на пригрузах) БИК ООО",14,,44.932351,7.537081
"Россия, край Краснодарский, г. Краснодар, ул. Волгоградская, д. 139/1,   столб, Столб металлический БИК ООО",14,"ул. Волгоградская Волгоградская, г. Краснодар",45.089293,38.989453
"Россия, обл. Новосибирская, р-н Новосибирский,   Толмачевский с/с, 0,12 км юго-восточнее участка 69, Геофизик снт, опора, МАО (башня/мачта на пригрузах) БИК ООО",14,,44.932351,7.537081
"Россия, респ. Татарстан, г. Набережные Челны, б-р Юных Ленинцев, д. 8, Кровля здания Прочие",14,,44.932351,7.537081
"Россия, обл. Новосибирская, р-н Маслянинский, рп Маслянино, ул. Озерная, д. 114Д,   опора, МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Озерная Озерная, р-н Маслянинский",54.336649,84.212261
"Россия, обл. Свердловская, г. Нижний Тагил, ул. Юности, д. 16/стр. в, Мачта на кровле МТС ПАО",14,"ул. Юности Юности, г. Нижний Тагил",57.912802,60.094355
"Россия, край Краснодарский, р-н Белореченский, ст-ца Рязанская, ул. Победы, д. 104А,   башня, Башня БИК ООО",14,"ул. Победы Победы, р-н Белореченский",44.752813,39.888181
"Россия, обл. Новосибирская, г. Новосибирск, ул. Родники, д. 1/1",14,"ул. Родники Родники, г. Новосибирск",55.111176,82.950415
"Россия, край Краснодарский, р-н Калининский, ст-ца Старовеличковская, ул. Красная, д. 161,   ОДН, ОДН Прочие",14,"ул. Красная Красная, р-н Калининский",45.436236,38.717002
"Россия, обл. Свердловская, г. Нижний Тагил, ш. Северное, стр. 21,   ЗДАНИЕ ПРОИЗВОДСТВЕННОГО ЦЕХА №02/2, ЛИТЕР 8, Мачта на кровле МТС ПАО",14,"ш. Северное Северное, г. Нижний Тагил",57.957319,59.902268
"Россия, край Краснодарский, г. Краснодар, п Лазурный, снт НСТ Заря, ул. Лесополосная,   cтолб, Столб металлический БИК ООО",14,"ул. Лесополосная Лесополосная, г. Краснодар",45.131759,39.047044
"Россия, обл. Новосибирская, р-н Искитимский, с Старый Искитим, ул. Весенняя, д. 2а,   башня, Башня Теле2",14,"ул. Весенняя Весенняя, р-н Искитимский",54.460944,83.387985
"Россия, край Краснодарский, р-н Белореченский, г. Белореченск, ул. Комсомольская,   пересечение с Международная ул, столб, Столб железобетонный БИК ООО",14,"ул. Комсомольская Комсомольская, р-н Белореченский",44.771169,39.855222
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Портовая,   около д. 70, столб, Столб железобетонный БИК ООО",14,"ул. Портовая Портовая, г. Ростов-на-Дону",47.199644,39.66353
"Россия, край Краснодарский, р-н Красноармейский, ст-ца Полтавская, ул. Кубанская, д. 253,   столб, Столб железобетонный БИК ООО",14,"ул. Кубанская Кубанская, р-н Красноармейский",45.372196,38.208188
"Россия, край Краснодарский, р-н Белореченский, ст-ца Пшехская, ул. Чехова, д. 59А,   столб ПАО ""МТС"", Столб металлический МТС ПАО",14,"ул. Чехова Чехова, р-н Белореченский",44.786505,39.86054
"Россия, край Краснодарский, р-н Староминский, п Восточный, ул. Большевистская,   опора, Столб металлический БИК ООО",14,"ул. Большевистская Большевистская, р-н Староминский",46.519025,39.081629
"Россия, обл. Свердловская, г. Екатеринбург, ул. Онежская, д. 12",14,"ул. Онежская Онежская, г. Екатеринбург",56.799813,60.634638
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Нансена, д. 123/к.А",14,"ул. Нансена Нансена, г. Ростов-на-Дону",47.244705,39.714779
"Россия, край Краснодарский, р-н Северский, пгт Ильский, ул. Беличенко, д. 40,   столб, Столб металлический МТС ПАО",14,"ул. Беличенко Беличенко, р-н Северский",44.836811,38.559447
"Россия, обл. Свердловская, г. Екатеринбург, ул. Красных командиров, д. 1/к.а",14,"ул. Красных командиров Красных командиров, г. Екатеринбург",56.89732,60.628853
"Россия, край Краснодарский, р-н Динской, п Южный, тер. снт Ивушка, ул. Ягодная, д. 2,   столб ПАО ""МТС"", Столб металлический МТС ПАО",14,"ул. Ягодная Ягодная, р-н Динской",45.255821,39.224003
"Россия, обл. Ростовская, р-н Аксайский, п Темерницкий, ул. Березовая,   район дома 1, столб, Столб металлический БИК ООО",14,"ул. Березовая Березовая, р-н Аксайский",47.350306,39.807746
"Россия, респ. Татарстан, р-н Актанышский, с Старое Байсарово,   2 км на юго-восток от с. Стар. Байсарово, башня, Башня БИК ООО",14,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, ул. Гарифа Ахунова, д. 10",14,"ул. Гарифа Ахунова Гарифа Ахунова, п. Татарстан",55.620464,52.596791
"Россия, край Краснодарский, р-н Кавказский, г. Кропоткин, ул. Московская, д. 273,   столб, Столб железобетонный БИК ООО",14,"ул. Московская Московская, р-н Кавказский",45.426287,40.543017
"Россия, респ. Татарстан, г. Казань, ул. Сафиуллина, д. 44",14,"ул. Сафиуллина Сафиуллина, п. Татарстан",55.620464,52.596791
"Россия, край Краснодарский, г. Краснодар, тер. Пашковский жилой массив, ул. им. Лавочкина, д. 1, Мачта на кровле МТС ПАО",14,"ул. им. Лавочкина им. Лавочкина, г. Краснодар",45.036534,39.122197
"Россия, обл. Ростовская, р-н Тарасовский, сл Большинка, ул. Кладбищенская,   в районе д. 14, башня, Башня Национальная Башенная Компания АО",14,"ул. Кладбищенская Кладбищенская, р-н Тарасовский",48.656398,41.089507
"Россия, обл. Ростовская, г. Каменск-Шахтинский, мкр Лиховской, ул. Советская,   рядом с д. 12 Дымовая труба, Дымовая труба РЖД",14,"ул. Советская Советская, г. Каменск-Шахтинский",48.153023,40.184805
"Россия, обл. Свердловская, р-н Нижнесергинский, д Половинка,   0.34 км восточнее Половинка д, башня, Башня БИК ООО",14,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, ул. Интернациональная, д. 5А,   территория ООО ""ЮлБарс"", опора, Столб металлический БИК ООО",14,"ул. Интернациональная Интернациональная, п. Татарстан",55.618791,52.598318
"Россия, обл. Свердловская, р-н Байкаловский, д Кадочникова, ул. Спорта, д. 37,   башня, Башня БИК ООО",14,"ул. Спорта Спорта, р-н Байкаловский",57.53038,63.891291
"Россия, обл. Свердловская, г. Нижний Тагил, ул. Зари, д. 5",14,"ул. Зари Зари, г. Нижний Тагил",57.912673,60.134402
"Россия, респ. Татарстан, г. Казань, ул. Гагарина, д. 121, Мачта на кровле Теле2",14,"ул. Гагарина Гагарина, п. Татарстан",55.620464,52.596791
"Россия, обл. Свердловская, г. Екатеринбург, ул. Малышева, д. 51, Внутри здания Прочие",14,"ул. Малышева Малышева, г. Екатеринбург",56.836603,60.624065
"Россия, край Краснодарский, г. Краснодар, х Ленина, ул. Строительная,   0.02 км юго-западнее дома 20, ОДН, ОДН Прочие",14,"ул. Строительная Строительная, г. Краснодар",45.047138,39.022133
"Россия, обл. Свердловская, г. Екатеринбург, ул. Металлургов, д. 50, Кровля здания МТС ПАО",14,"ул. Металлургов Металлургов, г. Екатеринбург",56.826532,60.507005
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Фурмановская, д. 107/45, Кровля здания Прочие",14,"ул. Фурмановская Фурмановская, г. Ростов-на-Дону",47.270868,39.719468
"Россия, обл. Новосибирская, р-н Колыванский, рп Колывань, снт Кедр,   опора, МАО (башня/мачта на пригрузах) БИК ООО",14,,44.932351,7.537081
"Россия, край Краснодарский, г. Краснодар, ст-ца Елизаветинская, ул. им. Ленина, д. 152, Кровля здания Прочие",14,"ул. им. Ленина им. Ленина, г. Краснодар",45.032165,39.247404
"Россия, обл. Новосибирская, р-н Черепановский, г. Черепаново, ул. Романова, д. 80А,   башня, Башня Вымпелком ПАО",14,"ул. Романова Романова, р-н Черепановский",54.408854,83.556796
"Россия, обл. Свердловская, г. Екатеринбург, ул. Минометчиков,   0,080 км юго-восточнее дома 30, столб, ОДН ВЕРТИКАЛЬ-УРАЛ ООО",14,"ул. Минометчиков Минометчиков, г. Екатеринбург",56.865171,60.528304
"Россия, обл. Новосибирская, г. Новосибирск, ул. Демьяна Бедного, д. 71, Кровля здания Прочие",14,"ул. Демьяна Бедного Демьяна Бедного, г. Новосибирск",55.048374,82.933913
"Россия, обл. Свердловская, г. Волчанск, ул. Молодежная, д. 57,   опора, Столб металлический БИК ООО",14,"ул. Молодежная Молодежная, г. Волчанск",59.933906,60.087851
"Россия, обл. Ростовская, г. Батайск, ул. Гайдара,   в районе д. 6, башня на пригрузах, МАО (башня/мачта на пригрузах) Первая Башенная Компания АО",14,"ул. Гайдара Гайдара, г. Батайск",47.118905,39.732835
"Россия, край Краснодарский, р-н Тимашевский, х Ленинский, ул. Космонавтов,   столб, Столб железобетонный БИК ООО",14,"ул. Космонавтов Космонавтов, р-н Тимашевский",45.600537,38.952658
"Россия, край Краснодарский, г. Краснодар, х Ленина, ул. Наримановская, д. 2А,   башня 50м, Башня БИК ООО",14,"ул. Наримановская Наримановская, г. Краснодар",45.017174,39.209675
"Россия, обл. Ростовская, р-н Тарасовский, сл Колушкино, ул. Степная, д. 17 А,   столб, Столб железобетонный БИК ООО",14,"ул. Степная Степная, р-н Тарасовский",48.72348,40.363057
"Россия, респ. Татарстан, р-н Елабужский, д Чирши,   165-й км трассы Казань - Наб.Челны, 1.6 км на юго-запад от д. Чирши, башня, Башня БИК ООО",14,,44.932351,7.537081
"Россия, обл. Новосибирская, г. Новосибирск, тер. Военного санатория Ельцовка,   башня, Башня Первая Башенная Компания АО",14,,44.932351,7.537081
"Россия, обл. Новосибирская, р-н Новосибирский, с Кубовая,   опора, МАО (башня/мачта на пригрузах) БИК ООО",14,,44.932351,7.537081
"Россия, респ. Татарстан, р-н Рыбно-Слободский, с Анатыш, ул. Центральная, д. 9,   опора, Столб железобетонный БИК ООО",14,"ул. Центральная Центральная, п. Татарстан",55.620464,52.596791
"Россия, обл. Новосибирская, г. Новосибирск, ул. Петухова, д. 95/1",14,"ул. Петухова Петухова, г. Новосибирск",54.942413,82.898547
"Россия, обл. Новосибирская, р-н Чистоозерный, рп Чистоозерное, ул. Южная, д. 10,   опора, МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Южная Южная, р-н Чистоозерный",54.707796,76.600261
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Беляева, д. 13/к.58, Кровля здания Прочие",14,"ул. Беляева Беляева, г. Ростов-на-Дону",47.299683,39.723259
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. 2-я Краснодарская, д. 96",14,"ул. 2-я Краснодарская 2-я Краснодарская, г. Ростов-на-Дону",47.203672,39.631362
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Бушнова,   0.08 км северо-западнее владения 15, столб, Столб металлический МТС ПАО",14,"ул. Бушнова Бушнова, г. Ростов-на-Дону",47.316956,39.798736
"Россия, обл. Свердловская, г. Верхняя Тура, ул. Совхозная, д. 16, Мачта на кровле МТС ПАО",14,"ул. Совхозная Совхозная, г. Верхняя Тура",58.364128,59.793779
"Россия, обл. Ростовская, р-н Боковский, х Большенаполовский, ул. Лесная, д. 82,   столб, Столб железобетонный БИК ООО",14,"ул. Лесная Лесная, р-н Боковский",49.444169,41.433023
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Города Волос, д. 6",14,"ул. Города Волос Города Волос, г. Ростов-на-Дону",47.231624,39.725038
"Россия, обл. Ростовская, г. Каменск-Шахтинский, пер. Центральный,   около д. 3, ЖБО, Столб железобетонный БИК ООО",14,"пер. Центральный Центральный, г. Каменск-Шахтинский",48.298708,40.240392
"Россия, обл. Новосибирская, г. Новосибирск, ул. Лобова,   опора , МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Лобова Лобова, г. Новосибирск",55.003373,82.982207
"Россия, обл. Свердловская, р-н Красноуфимский, с Александровское, ул. Трактовая, д. 2а/к.2,   опора, Столб металлический БИК ООО",14,"ул. Трактовая Трактовая, р-н Красноуфимский",56.253967,57.63731
"Россия, обл. Свердловская, г. Первоуральск, ул. Раздольная,   южнее дома № 39, опора, МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Раздольная Раздольная, г. Первоуральск",56.92896,60.051182
"Россия, обл. Ростовская, г. Ростов-на-Дону, пр-т Коммунистический, д. 30, Кровля здания Прочие",14,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, ул. Саид-Галеева, д. 6, Мачта на кровле МТС ПАО",14,"ул. Саид-Галеева Саид-Галеева, п. Татарстан",55.620464,52.596791
"Россия, обл. Новосибирская, г. Новосибирск, ул. имени генерал-майора Рожкина А.Н., д. 16",14,"ул. имени генерал-майора Рожкина А.Н. имени генерал-майора Рожкина А.Н., г. Новосибирск",55.110543,82.925694
"Россия, край Краснодарский, р-н Ейский, ст-ца Должанская, пер. Сквозной, д. 25,   столб, Столб железобетонный БИК ООО",14,"пер. Сквозной Сквозной, р-н Ейский",46.620281,37.800901
"Россия, обл. Свердловская, р-н Сухоложский, с Курьи, ул. Свердлова,   0.015 км севернее дома 23В, опора, МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Свердлова Свердлова, р-н Сухоложский",56.936244,62.006635
"Россия, обл. Ростовская, р-н Неклиновский, с Петрушино, ул. Энгельса, д. 35,   ЖБО, Столб железобетонный БИК ООО",14,"ул. Энгельса Энгельса, р-н Неклиновский",47.185303,38.860832
"Россия, край Краснодарский, р-н Гулькевичский, пгт Гирей, ул. Красная, д. 1,   дымовая труба ОАО БХЗ ""Кавказский"", Дымовая труба Прочие",14,"ул. Красная Красная, р-н Гулькевичский",45.393973,40.594212
"Россия, обл. Свердловская, г. Екатеринбург, ул. Сурикова, д. 51, Кровля здания МТС ПАО",14,"ул. Сурикова Сурикова, г. Екатеринбург",56.808339,60.601274
"Россия, респ. Татарстан, р-н Альметьевский, с Миннибаево,   1.5 км на северо-запад, Башня БИК ООО",14,,44.932351,7.537081
"Россия, обл. Новосибирская, р-н Коченевский, с Чистополье, ул. Центральная, д. 11,   опора, МАО (башня/мачта на пригрузах) БИК ООО",14,"ул. Центральная Центральная, р-н Коченевский",55.089779,82.513717
"Россия, обл. Новосибирская, г. Новосибирск, ул. Пришвина, д. 2/1, Кровля здания Прочие",14,"ул. Пришвина Пришвина, г. Новосибирск",54.939046,83.117772
"Россия, обл. Свердловская, р-н Туринский, г. Туринск, ул. Загородная, д. 183,   литер А, Мачта на кровле МТС ПАО",14,"ул. Загородная Загородная, р-н Туринский",58.043748,63.686008
"Россия, обл. Свердловская, г. Первоуральск, ул. Вайнера,   в районе дома 29, ОДН, ОДН Русские Башни АО",14,"ул. Вайнера Вайнера, г. Первоуральск",56.910753,59.963084
"Россия, край Краснодарский, р-н Ейский, г. Ейск, ул. Советов, д. 52,   ОДН, ОДН Русмаркет ООО",14,"ул. Советов Советов, р-н Ейский",46.713279,38.276433
"Россия, обл. Свердловская, г. Екатеринбург, ул. Щербакова, д. 148",14,"ул. Щербакова Щербакова, г. Екатеринбург",56.778766,60.658847
"Россия, респ. Татарстан, р-н Заинский, с Карманово,   31-й км трассы Наб.Челны - Альметьевск, 1 км на юго-восток от с. Карманово, башня, Башня БИК ООО",14,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, ул. Родины, д. 2, Мачта на кровле МТС ПАО",14,"ул. Родины Родины, п. Татарстан",55.620464,52.596791
"Россия, респ. Татарстан, р-н Зеленодольский, пгт Васильево, ул. Ленина, д. 42,   территория банного комплекса, метал. опора , Столб металлический БИК ООО",14,"ул. Ленина Ленина, п. Татарстан",55.620464,52.596791
"Россия, обл. Свердловская, г. Екатеринбург,   мкр.Солнечный, башня, Башня Екатеринбург - 2000 ООО",14,,44.932351,7.537081
"Россия, край Краснодарский, р-н Динской, п Южный, ул. Советская, д. 6/1,   столб, Столб металлический БИК ООО",14,"ул. Советская Советская, р-н Динской",45.153215,39.013249
"Россия, респ. Татарстан, р-н Черемшанский, с Черемшан, ул. Советская, д. 41,   опора, Столб металлический БИК ООО",14,"ул. Советская Советская, п. Татарстан",55.622985,52.60184
"Россия, обл. Ростовская, р-н Аксайский, п Реконструктор, ул. Транспортная,   пересечение с ул. Школьная, дом 3, ОДН, ОДН Прочие",14,"ул. Транспортная Транспортная, р-н Аксайский",47.302317,39.94049
"Россия, обл. Свердловская, г. Первоуральск, ул. Береговая, д. 80/к.а",14,"ул. Береговая Береговая, г. Первоуральск",56.919971,59.956796
"Россия, край Краснодарский, р-н Красноармейский, ст-ца Полтавская, ул. Казачья, д. 85А,   столб, Столб металлический БИК ООО",13,"ул. Казачья Казачья, р-н Красноармейский",45.355351,38.208161
"Россия, край Краснодарский, г. Краснодар, ул. им. Володи Головатого, д. 294А, Кровля здания Прочие",13,"ул. им. Володи Головатого им. Володи Головатого, г. Краснодар",45.039247,38.971801
"Россия, край Краснодарский, р-н Северский, пгт Афипский, ул. Магистральная,   в границах СПК ""Аврора"", башня, Башня БИК ООО",13,"ул. Магистральная Магистральная, р-н Северский",44.834241,38.832301
"Россия, обл. Ростовская, г. Таганрог, ул. Москатова, д. 33/1, Кровля здания Прочие",13,"ул. Москатова Москатова, г. Таганрог",47.259513,38.910383
"Россия, край Краснодарский, г. Краснодар, ул. им. Гаврилова П.М., д. 117, Кровля здания Прочие",13,"ул. им. Гаврилова П.М. им. Гаврилова П.М., г. Краснодар",45.053538,38.977721
"Россия, край Краснодарский, р-н Апшеронский, г. Апшеронск, ул. Комсомольская, д. 142А,   мачта прочие, Мачта Прочие",13,"ул. Комсомольская Комсомольская, р-н Апшеронский",44.410873,39.53508
"Россия, респ. Татарстан, г. Казань, ул. Гаврилова, д. 1А, Башня на кровле МТС ПАО",13,"ул. Гаврилова Гаврилова, п. Татарстан",55.620464,52.596791
"Россия, обл. Новосибирская, г. Новосибирск, ул. Марата,   опора, МАО (башня/мачта на пригрузах) БИК ООО",13,"ул. Марата Марата, г. Новосибирск",54.98198,83.074563
"Россия, край Краснодарский, р-н Новокубанский, г. Новокубанск, ул. Первомайская, д. 113,   столб, Столб железобетонный МТС ПАО",13,"ул. Первомайская Первомайская, р-н Новокубанский",45.081096,41.069502
"Россия, обл. Свердловская, пгт Рефтинский, ул. Лесная, д. 12, Мачта на кровле МТС ПАО",13,,44.932351,7.537081
"Россия, респ. Татарстан, р-н Лаишевский, с Большие Кабаны,   1,5 км на север от с.  Большие Кабаны, опора, Столб железобетонный БИК ООО",13,,44.932351,7.537081
"Россия, обл. Ростовская, г. Новочеркасск, ул. Желябова, д. 79/к.А,   ЖБО, Столб железобетонный БИК ООО",13,"ул. Желябова Желябова, г. Новочеркасск",47.429288,40.082864
"Россия, обл. Ростовская, р-н Тацинский, х Ковылкин, ул. Гагарина,   в райне д. 29 А, башня, Башня БИК ООО",13,"ул. Гагарина Гагарина, р-н Тацинский",48.264675,41.149488
"Россия, край Краснодарский, г. Краснодар, ул. Ставропольская, д. 149/к.1, Кровля здания МТС ПАО",13,"ул. Ставропольская Ставропольская, г. Краснодар",45.021131,39.014902
"Россия, обл. Новосибирская, г. Новосибирск, ул. Северная, д. 11,   рекламная конструкция, Кровля здания МТС ПАО",13,"ул. Северная Северная, г. Новосибирск",54.925649,83.061106
"Россия, край Краснодарский, г. Краснодар, ул. 3-я Трудовая, д. 1А,   столб, Столб металлический БИК ООО",13,"ул. 3-я Трудовая 3-я Трудовая, г. Краснодар",45.129196,38.985446
